id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
3497,M,1.4125,1.1,0.375,27.499015,12.40290625,6.406987,7.654365,11.0
3498,F,1.275,1.0,0.325,19.43358225,9.525432,4.23825025,5.8116475,9.0
3499,I,1.225,0.975,0.2875,15.43630275,6.70465675,3.61456125,3.685435,8.0
3500,I,1.2875,1.025,0.3625,19.17843675,6.76135575,4.32329875,6.6621325,11.0
3501,I,1.3125,1.075,0.3125,19.901349,8.164656,4.6209685,6.16601625,9.0
3502,M,1.575,1.2375,0.4875,35.210079,13.834556,8.15048125,11.056305,11.0
3503,F,1.5875,1.2625,0.4125,36.61337925,17.8885345,8.29222875,8.9300925,11.0
3504,I,1.2125,0.975,0.325,16.1308655,7.24329725,3.75630875,4.252425,8.0
3505,F,1.5125,1.175,0.4125,32.41765325,14.21727425,6.64795775,8.9300925,15.0
3506,F,1.475,1.1125,0.3375,27.1304715,11.38232425,5.896696,7.2291225,11.0
3507,F,1.125,0.875,0.3125,16.37183625,7.0590255,3.0333965,4.9611625,9.0
3508,M,1.55,1.2,0.4125,35.19590425,17.78931125,7.89533575,9.8372765,9.0
3509,F,1.45,1.125,0.3625,27.00289875,11.0846545,5.5281525,7.087375,13.0
3510,I,1.1,0.875,0.3125,11.26892625,4.252425,1.88524175,3.685435,8.0
3511,F,1.2625,1.0,0.325,18.89494175,8.391452,4.60679375,4.819415,8.0
3512,F,1.6125,1.2625,0.4,45.529297,19.674553,8.391452,12.246984,12.0
3513,M,1.3125,0.975,0.3,16.48523425,7.030676,4.2240755,4.9611625,8.0
3514,F,1.35,1.0125,0.3125,19.9863975,9.85145125,3.8838815,5.10291,10.0
3515,F,1.625,1.2875,0.4625,39.405805,18.58309725,9.9506745,10.9145575,10.0
3516,I,0.9,0.675,0.225,6.23689,2.42388225,1.26155275,2.1262125,8.0
3517,I,1.025,0.775,0.225,10.716111,5.329706,1.8994165,2.42388225,7.0
3518,M,1.5,1.1875,0.4625,33.46658475,13.73533275,7.47009325,9.45455825,10.0
3519,I,0.5875,0.4,0.1625,1.94194075,0.7087375,0.4252425,0.510291,5.0
3520,I,1.2375,0.9375,0.3,15.12445825,6.633783,3.47281375,4.1106775,8.0
3521,F,1.125,0.8875,0.2875,13.08329425,5.953395,2.67902775,4.252425,11.0
3522,M,1.7,1.2625,0.475,40.9650275,16.48523425,10.9712565,11.1980525,11.0
3523,I,0.95,0.6875,0.2375,8.60407325,4.35164825,2.041164,2.494756,6.0
3524,F,1.425,1.1,0.4125,32.034935,14.92601175,6.9456275,8.3631025,10.0
3525,I,0.675,0.4875,0.1625,2.05533875,0.7654365,0.52446575,0.7654365,6.0
3526,M,1.25,1.025,0.3375,20.3265915,8.09378225,4.1106775,5.953395,11.0
3527,F,1.35,1.025,0.3625,23.79940525,8.7599955,5.40057975,6.80388,10.0
3528,I,1.1,0.85,0.3375,13.8062065,5.556502,2.96252275,3.40194,7.0
3529,I,1.0125,0.7625,0.2875,9.298636,4.43669675,1.6159215,2.83495,8.0
3530,I,1.0875,0.75,0.3,11.7650425,5.28718175,3.118445,2.70737725,7.0
3531,I,0.6,0.45,0.1625,2.3530085,0.97805775,0.56699,0.60951425,8.0
3532,M,1.5375,1.125,0.3875,27.54153925,10.546014,5.159609,10.886208,15.0
3533,I,1.0,0.7125,0.25,10.9145575,4.83358975,2.097863,2.83495,7.0
3534,F,1.3375,1.0,0.3375,22.566202,10.21999475,5.68407475,6.23689,13.0
3535,M,1.3125,1.025,0.3625,21.318824,9.87980075,4.422522,5.20213325,8.0
3536,I,1.3,1.0125,0.4125,20.08562075,7.824462,4.77689075,6.9456275,15.0
3537,I,0.9125,0.675,0.2,6.61960825,2.2963095,1.190679,1.984465,6.0
3538,M,1.425,1.1875,0.375,27.499015,11.75086775,5.2446575,7.7961125,10.0
3539,M,1.55,1.225,0.425,37.1094955,18.58309725,7.9662095,8.9300925,10.0
3540,F,1.5625,1.2875,0.4375,38.00250475,16.9246515,8.3064035,10.0640725,12.0
3541,M,1.475,1.125,0.3625,25.67047225,12.00601325,6.22271525,7.01650125,8.0
3542,M,1.675,1.35,0.4875,47.18774275,21.89998875,10.19164525,11.3398,11.0
3543,M,1.2875,1.0,0.35,20.3265915,9.87980075,4.706017,5.6699,9.0
3544,M,1.65,1.325,0.4375,36.3724085,15.705623,6.7755305,10.489315,11.0
3545,I,1.1,0.85,0.25,11.6516445,5.2446575,2.45223175,3.8271825,6.0
3546,F,1.6375,1.35,0.5,48.26502375,17.05222425,10.24834425,13.60776,11.0
3547,I,1.1625,0.925,0.275,14.38737125,6.73300625,2.721552,3.96893,7.0
3548,M,1.4375,1.1875,0.3875,27.8675585,12.85649825,5.386405,7.5126175,11.0
3549,F,1.45,1.1375,0.375,28.91649,13.05494475,6.05261825,6.23689,9.0
3550,F,1.3,1.0,0.3375,17.860185,5.839997,4.252425,5.2446575,12.0
3551,M,1.675,1.3625,0.5625,52.34735175,14.55746825,7.0023265,16.556108,18.0
3552,M,1.6625,1.3,0.4375,41.48949325,19.46193175,8.85921875,10.8011595,9.0
3553,I,1.325,1.0125,0.3125,17.690088,7.78193775,4.7910655,4.3941725,8.0
3554,I,1.275,0.95,0.3,16.0741665,7.24329725,3.0333965,4.1106775,8.0
3555,F,1.4375,1.1625,0.3625,28.973189,12.1619355,5.51397775,7.5126175,11.0
3556,I,0.7,0.525,0.15,2.438057,1.17650425,0.56699,0.94970825,6.0
3557,M,1.5625,1.1875,0.4125,29.78114975,13.60776,5.443104,8.788345,11.0
3558,F,1.275,1.0,0.325,19.17843675,9.07184,4.12485225,5.5281525,8.0
3559,M,0.875,0.65,0.2375,6.30776375,2.25378525,1.3891255,1.70097,8.0
3560,F,1.3125,1.0375,0.375,20.87940675,7.767763,4.60679375,7.5126175,14.0
3561,F,1.0875,0.8375,0.25,11.6516445,5.273007,2.67902775,3.231843,10.0
3562,I,0.85,0.65,0.2,5.10291,2.26796,1.43164975,1.5592225,5.0
3563,F,1.4,1.075,0.35,23.643483,9.2135875,4.63514325,7.087375,15.0
3564,F,1.775,1.3875,0.55,52.43240025,14.44407025,12.530479,18.8524175,20.0
3565,F,1.5625,1.225,0.375,30.43318825,13.99047825,6.08096775,7.93786,9.0
3566,F,1.5125,1.175,0.4,31.22697425,12.47378,7.200773,9.922325,11.0
3567,M,1.6625,1.3,0.4625,38.9805625,17.860185,8.68912175,10.602713,11.0
3568,I,1.0,0.7625,0.25,8.00873375,3.21766825,1.54504775,2.551455,7.0
3569,M,1.6375,1.2875,0.4375,37.74735925,15.762322,7.98038425,10.0640725,13.0
3570,I,1.075,0.8375,0.275,9.02931575,3.69960975,2.22543575,2.96252275,8.0
3571,I,1.0875,0.8125,0.275,9.4970825,4.5075705,2.62232875,2.9766975,7.0
3572,I,1.175,0.8625,0.2875,13.53688625,6.0384435,2.5231055,3.21766825,7.0
3573,F,1.6875,1.3125,0.4375,46.096287,20.68096025,11.396499,12.190285,10.0
3574,F,1.4125,1.1375,0.425,27.76833525,8.0796075,6.93145275,8.9300925,12.0
3575,F,1.25,0.9625,0.3,17.78931125,7.04485075,3.572037,5.2446575,9.0
3576,I,0.7375,0.55,0.175,3.01922175,1.4458245,0.80796075,0.80796075,5.0
3577,M,1.6875,1.3625,0.4375,43.1762885,19.8163005,9.56795625,10.1207715,9.0
3578,F,1.125,0.8375,0.2625,12.870673,5.4147545,2.324659,3.685435,10.0
3579,I,0.9375,0.7375,0.25,7.1724235,3.04757125,1.74349425,2.4097075,9.0
3580,M,1.45,1.1375,0.375,24.16794875,9.00096625,4.60679375,7.767763,13.0
3581,M,1.3125,1.0125,0.35,20.808533,9.468733,4.77689075,5.2446575,7.0
3582,I,0.875,0.6625,0.2125,5.59902625,2.48058125,1.190679,1.8427175,6.0
3583,M,1.475,1.1625,0.3,27.499015,11.169703,6.19436575,7.37087,9.0
3584,F,1.4125,1.15,0.4625,27.78251,12.133586,6.4920355,8.221355,10.0
3585,F,1.475,1.1875,0.425,28.2644515,10.375917,6.0951425,10.489315,15.0
3586,F,1.7125,1.3125,0.475,42.354153,22.15513425,11.60912025,11.7650425,9.0
3587,M,1.2125,0.95,0.3,16.896302,12.23280925,3.07592075,4.53592,7.0
3588,F,1.45,1.1875,0.4875,37.1094955,14.04717725,7.38504475,13.324265,17.0
3589,I,0.8375,0.6625,0.2125,5.79747275,2.65067825,1.65844575,1.984465,7.0
3590,M,1.2,0.9625,0.3125,16.839603,6.70465675,3.50116325,5.10291,8.0
3591,I,1.05,0.8,0.275,10.33339275,4.422522,2.33883375,2.9766975,8.0
3592,I,1.575,1.225,0.425,33.12639075,13.267566,6.87475375,9.07184,19.0
3593,M,1.475,1.2125,0.35,29.540179,13.6361095,6.90310325,7.654365,10.0
3594,M,1.3125,1.05,0.375,24.720764,13.19669225,5.54232725,5.2446575,8.0
3595,I,1.05,0.775,0.275,9.11436425,4.37999775,1.74349425,2.4664065,11.0
3596,M,1.5875,1.25,0.4375,33.38153625,14.6566915,7.881161,8.74582075,11.0
3597,F,1.475,1.1625,0.4125,27.158821,11.736693,5.88252125,7.767763,13.0
3598,I,1.275,0.9875,0.35,17.53416575,7.200773,3.55786225,6.0951425,11.0
3599,M,1.3125,1.0125,0.35,19.8163005,7.087375,4.43669675,6.3786375,18.0
3600,M,1.575,1.2125,0.425,35.81959325,13.60776,6.6054335,9.63883,15.0
3601,I,0.8,0.575,0.2,3.98310475,1.54504775,0.80796075,1.417475,6.0
3602,F,1.5625,1.2625,0.4125,37.98833,16.96717575,7.98038425,9.7805775,9.0
3603,M,1.725,1.375,0.5125,50.6605565,23.28911425,10.375917,12.757275,9.0
3604,M,1.6125,1.25,0.4,36.7693015,17.916884,8.37727725,8.9300925,9.0
3605,I,1.25,0.95,0.3,16.3576615,8.60407325,3.30271675,5.386405,8.0
3606,F,1.225,0.95,0.3,15.03940975,6.90310325,3.3735905,4.15320175,10.0
3607,F,0.9875,0.775,0.25,9.00096625,3.912231,2.608154,2.83495,9.0
3608,M,1.45,1.1125,0.35,24.153774,9.7805775,5.11708475,6.520385,13.0
3609,I,0.725,0.55,0.175,3.16096925,1.65844575,0.623689,0.9922325,5.0
3610,M,1.6875,1.2875,0.4875,41.71628925,17.08057375,9.695529,11.056305,12.0
3611,I,1.1125,0.875,0.25,12.74310025,4.43669675,2.5798045,3.6570855,8.0
3612,F,1.6,1.2375,0.4,34.23202125,14.5999925,7.47009325,8.9300925,12.0
3613,F,1.7125,1.325,0.5375,50.56133325,17.0097,11.15552825,13.04077,24.0
3614,F,1.5125,1.1875,0.35,32.5168765,16.1308655,8.2497045,7.93786,8.0
3615,I,1.2875,0.9875,0.3,17.349894,8.29222875,3.52951275,4.35164825,8.0
3616,I,1.175,0.8875,0.3,17.08057375,9.56795625,3.175144,3.96893,8.0
3617,I,0.8,0.625,0.2,4.80524025,2.26796,0.737087,1.43164975,6.0
3618,F,1.8375,1.4375,0.625,53.410458,25.78387025,13.1825175,18.66814575,11.0
3619,F,1.15,0.9375,0.325,12.48795475,4.72019175,3.04757125,4.819415,10.0
3620,I,0.2625,0.225,0.0875,0.41106775,0.1417475,0.0850485,0.1417475,6.0
3621,M,1.475,1.1375,0.3875,31.127751,15.35125425,5.216308,7.881161,11.0
3622,M,1.5625,1.225,0.425,33.89182725,16.57028275,9.241937,9.2135875,11.0
3623,M,1.25,0.975,0.3,24.87668625,12.00601325,4.77689075,6.0951425,9.0
3624,M,1.5625,1.225,0.4875,38.51279575,16.4143605,9.015141,10.489315,9.0
3625,F,1.1125,0.8125,0.25,10.73028575,4.83358975,2.2963095,3.3168915,9.0
3626,F,1.55,1.2125,0.4375,34.6147395,16.6978555,8.51902475,8.9300925,11.0
3627,I,1.2625,0.9375,0.2875,16.839603,8.85921875,3.1467945,5.10291,8.0
3628,M,1.6,1.2875,0.3875,38.9805625,17.6617385,8.88756825,11.1980525,10.0
3629,F,1.7,1.375,0.4375,41.4753185,15.03940975,8.68912175,11.90679,19.0
3630,F,1.3125,1.0875,0.4,24.42309425,10.8011595,6.19436575,7.2291225,9.0
3631,M,1.4625,1.125,0.4,24.84833675,9.99319875,5.1879585,8.788345,19.0
3632,F,0.875,0.65,0.25,7.6827145,2.83495,1.70097,2.4097075,11.0
3633,I,0.4875,0.375,0.1,1.06310625,0.35436875,0.18427175,0.3118445,5.0
3634,I,1.3375,1.0125,0.35,19.37688325,7.6827145,4.1106775,5.953395,10.0
3635,I,1.0375,0.8125,0.25,9.07184,4.66349275,2.14038725,2.9766975,7.0
3636,M,1.5125,1.175,0.425,30.71668325,12.23280925,6.42116175,10.77281,9.0
3637,M,1.4375,1.125,0.475,24.720764,10.5176645,5.726599,8.0796075,10.0
3638,F,1.65,1.3125,0.45,46.67745175,24.73493875,10.41844125,13.1825175,11.0
3639,M,1.0625,0.8125,0.25,9.19941275,4.77689075,1.814368,2.9766975,7.0
3640,M,1.425,1.1375,0.4125,26.08154,11.8784405,6.22271525,6.80388,11.0
3641,F,1.5125,1.1875,0.4125,28.02348075,11.963489,6.4353365,7.7961125,12.0
3642,F,1.45,1.125,0.4,26.138239,10.7444605,5.1312595,8.29222875,11.0
3643,F,1.4125,1.1375,0.3375,23.31746375,11.4815475,4.706017,6.747181,10.0
3644,M,1.2875,1.0,0.3375,20.638436,8.34892775,3.98310475,5.386405,9.0
3645,F,1.575,1.2125,0.425,37.1094955,12.94154675,8.68912175,13.7495075,19.0
3646,M,1.3125,1.0375,0.3125,21.375523,7.24329725,3.98310475,8.3631025,14.0
3647,F,0.825,0.625,0.2125,5.556502,2.324659,1.09145575,1.71514475,13.0
3648,I,1.125,0.8875,0.3125,14.07552675,6.7188315,2.96252275,3.685435,7.0
3649,M,1.25,1.0,0.375,35.62114675,15.74814725,5.17378375,8.788345,10.0
3650,I,1.0875,0.8125,0.275,10.41844125,4.37999775,2.041164,3.40194,7.0
3651,F,1.3125,1.0,0.3625,19.5328055,8.97261675,4.5075705,5.10291,10.0
3652,F,1.3125,1.0,0.3375,18.92329125,7.93786,4.49339575,5.10291,11.0
3653,I,0.875,0.6625,0.2,7.144074,2.8066005,1.3891255,2.4097075,7.0
3654,F,1.45,1.15,0.425,25.51455,12.48795475,5.556502,7.654365,8.0
3655,M,1.6375,1.275,0.45,39.179009,19.15008725,8.448151,10.8011595,10.0
3656,M,1.5375,1.2125,0.3875,31.9498865,15.06775925,7.0023265,7.5126175,10.0
3657,M,1.35,1.0375,0.475,22.89222125,7.86698625,4.3941725,9.07184,27.0
3658,F,1.3125,1.0,0.3875,23.0481435,8.03708325,5.953395,8.788345,11.0
3659,I,0.925,0.725,0.2375,6.30776375,2.6932025,1.644271,2.16873675,7.0
3660,I,1.175,0.8625,0.2875,11.66581925,4.74854125,2.67902775,3.1467945,8.0
3661,M,1.4375,1.1,0.4,26.03901575,9.48290775,6.44951125,8.50485,13.0
3662,F,1.375,1.0625,0.3625,24.81998725,10.53183925,4.649318,7.5126175,9.0
3663,I,1.125,0.8875,0.275,15.74814725,7.0590255,3.345241,3.8271825,7.0
3664,M,1.4875,1.125,0.375,31.19862475,14.81261375,6.463686,8.618248,12.0
3665,M,1.525,1.2125,0.4,33.0838665,13.154168,5.59902625,9.7805775,6.0
3666,I,0.7875,0.5,0.1625,2.721552,1.0489315,0.6520385,0.850485,5.0
3667,M,1.725,1.35,0.5125,53.580555,19.447757,13.551061,16.159215,20.0
3668,F,1.5,1.2125,0.3875,31.6096925,13.65028425,6.3219385,9.355335,14.0
3669,F,1.6875,1.3,0.5125,44.80638475,18.83824275,10.16329575,14.74174,13.0
3670,F,1.25,0.9625,0.3375,14.89766225,5.74077375,2.948348,4.479221,14.0
3671,M,1.5875,1.2625,0.4,36.27318525,16.4143605,8.15048125,10.0640725,9.0
3672,F,1.725,1.375,0.55,51.29842025,16.51358375,7.52679225,15.4504775,19.0
3673,I,1.0375,0.8125,0.25,9.07184,4.52174525,2.22543575,2.26796,6.0
3674,I,1.175,0.8875,0.3125,14.5999925,7.35669525,2.96252275,3.96893,8.0
3675,F,1.5625,1.1875,0.3875,32.0065855,12.8990225,7.427569,10.0640725,11.0
3676,I,1.35,1.075,0.35,21.885814,10.90038275,4.52174525,6.0384435,8.0
3677,M,1.4875,1.1,0.3875,29.086587,13.99047825,6.123492,9.4970825,9.0
3678,M,1.5125,1.1375,0.3625,30.51823675,13.02659525,6.5487345,8.6465975,10.0
3679,F,1.5375,1.2125,0.45,38.00250475,16.59863225,8.3064035,11.169703,16.0
3680,I,0.625,0.4625,0.15,3.01922175,1.4458245,0.63786375,0.7654365,6.0
3681,M,1.6125,1.25,0.4625,42.921143,18.92329125,9.56795625,10.886208,9.0
3682,I,1.1625,0.8875,0.3125,13.8062065,5.34388075,3.30271675,4.1106775,9.0
3683,F,1.5875,1.2375,0.4375,35.98969025,16.54193325,7.087375,10.0640725,17.0
3684,F,1.6,1.3375,0.5,45.7277435,20.68096025,9.241937,14.0330025,9.0
3685,F,1.8,1.4,0.4375,50.39123625,15.52135125,9.5537815,12.757275,16.0
3686,M,1.175,0.9375,0.3375,15.77649675,5.34388075,3.4869885,5.783298,14.0
3687,M,1.4375,1.1125,0.425,23.40251225,10.70193625,5.6415505,6.6621325,8.0
3688,M,1.2625,0.9875,0.3,15.66309875,6.7755305,4.29494925,4.6776675,8.0
3689,M,1.6,1.225,0.4,39.405805,19.6462035,8.68912175,9.59630575,9.0
3690,F,1.175,0.875,0.3,13.53688625,6.02426875,2.608154,4.9611625,8.0
3691,M,1.35,1.0375,0.3375,19.43358225,6.7755305,4.252425,5.6699,11.0
3692,M,1.4125,1.1375,0.425,27.71163625,8.85921875,5.3580555,8.3631025,22.0
3693,F,1.45,1.15,0.4625,31.18445,13.5227115,6.13766675,8.6465975,11.0
3694,M,1.6625,1.3125,0.3875,43.02036625,19.6462035,9.39785925,11.623295,11.0
3695,M,1.5625,1.2125,0.4,30.4190135,13.6928085,7.257472,8.0796075,9.0
3696,F,1.55,1.225,0.4125,32.601925,16.3009625,7.1724235,8.9300925,9.0
3697,F,1.375,1.0625,0.375,24.0687255,12.43125575,4.6209685,6.19436575,9.0
3698,M,1.375,1.0375,0.3625,22.5945515,8.4198015,5.8683465,7.7961125,10.0
3699,M,1.2,0.9375,0.3875,21.38969775,11.8217415,4.06815325,6.80388,8.0
3700,M,1.6125,1.325,0.4125,33.46658475,13.65028425,7.767763,9.63883,12.0
3701,I,0.5375,0.375,0.1,1.09145575,0.35436875,0.1417475,0.2551455,5.0
3702,I,1.325,1.0125,0.325,18.01610725,8.34892775,3.98310475,4.9611625,9.0
3703,F,1.5625,1.25,0.4,32.98464325,13.93377925,7.27164675,10.0640725,15.0
3704,F,1.125,0.8875,0.3,14.5999925,6.0951425,3.78465825,4.9611625,11.0
3705,I,1.125,0.875,0.25,13.7495075,5.76912325,2.8066005,3.8271825,8.0
3706,M,1.3875,1.1,0.35,22.169309,9.07184,4.5075705,7.2291225,10.0
3707,M,1.375,1.0875,0.3625,23.48756075,10.19164525,5.17378375,6.3786375,10.0
3708,F,1.275,0.975,0.3375,17.70426275,7.087375,3.95475525,7.087375,13.0
3709,I,0.725,0.5625,0.175,3.41611475,1.417475,0.75126175,1.13398,5.0
3710,M,1.3625,1.15,0.3625,23.45921125,9.42620875,5.54232725,6.6621325,12.0
3711,I,0.4625,0.3125,0.1,0.8221355,0.29766975,0.226796,0.2551455,4.0
3712,I,0.4125,0.3125,0.0875,0.963883,0.26932025,0.12757275,0.1417475,4.0
3713,M,1.2875,0.95,0.3,18.71067,7.78193775,4.252425,5.386405,12.0
3714,M,1.6,1.2375,0.45,38.55532,17.53416575,8.29222875,11.056305,11.0
3715,M,1.6375,1.2625,0.4125,35.42270025,15.06775925,8.391452,11.623295,13.0
3716,I,1.25,0.9375,0.3,11.94931425,6.02426875,2.25378525,3.685435,7.0
3717,I,1.1375,0.8875,0.3,12.5021295,5.6699,2.324659,3.8271825,7.0
3718,F,1.525,1.2125,0.475,31.70891575,11.8784405,6.67630725,11.623295,15.0
3719,I,1.2875,0.9625,0.35,17.95940825,7.10154975,4.06815325,5.5281525,10.0
3720,F,1.425,1.225,0.425,32.6869735,15.03940975,7.10154975,8.221355,11.0
3721,I,1.0375,0.7875,0.275,10.716111,4.9611625,2.50893075,3.40194,9.0
3722,M,1.225,0.975,0.35,17.19397175,6.50621025,3.2601925,5.5281525,16.0
3723,F,1.4875,1.175,0.45,32.31843,11.9918385,8.334753,10.77281,11.0
3724,M,1.475,1.125,0.3625,25.51455,10.9712565,5.40057975,7.7961125,9.0
3725,F,1.2625,0.9625,0.3375,16.896302,6.9456275,4.01145425,5.953395,9.0
3726,I,1.2875,1.0375,0.3,17.0380495,8.51902475,3.41611475,5.2446575,8.0
3727,F,1.525,1.2,0.4125,29.5685285,12.85649825,7.07320025,8.6465975,9.0
3728,F,1.5625,1.2375,0.4125,30.94347925,14.16057525,7.01650125,8.9300925,10.0
3729,F,1.575,1.275,0.4,30.71668325,11.35397475,8.0796075,9.2135875,12.0
3730,F,1.625,1.275,0.4125,37.32211675,15.025235,9.19941275,10.9145575,11.0
3731,M,1.5625,1.225,0.325,31.87901275,15.35125425,6.9456275,7.5126175,9.0
3732,M,1.525,1.2,0.425,30.94347925,13.08329425,6.0951425,8.03708325,11.0
3733,I,1.4875,1.1625,0.375,28.02348075,12.00601325,6.25106475,7.1724235,11.0
3734,I,1.25,0.9625,0.325,16.9813505,8.40562675,3.64291075,5.03203625,10.0
3735,M,1.5,1.2125,0.4,29.653577,13.96212875,7.58349125,8.788345,9.0
3736,I,0.825,0.6375,0.2125,5.556502,2.05533875,0.94970825,1.70097,7.0
3737,I,0.475,0.325,0.0625,0.75126175,0.2551455,0.1417475,0.2551455,4.0
3738,F,1.6375,1.2875,0.4125,37.194544,15.35125425,7.66853975,10.942907,10.0
3739,M,1.6125,1.25,0.5,38.71124225,17.57669,8.34892775,12.0485375,12.0
3740,M,1.2125,0.925,0.3,16.76872925,6.81805475,3.95475525,5.2446575,11.0
3741,F,1.5375,1.1875,0.425,30.107169,12.34620725,6.80388,9.63883,11.0
3742,M,1.2875,1.0,0.35,20.6100865,8.83086925,5.17378375,4.819415,11.0
3743,M,1.1625,0.875,0.2875,14.10387625,6.73300625,2.8066005,3.96893,10.0
3744,I,1.325,1.05,0.325,19.43358225,8.1930055,3.84135725,5.48562825,10.0
3745,F,1.0875,0.8,0.275,12.99824575,5.443104,2.891649,3.685435,7.0
3746,M,1.3125,1.025,0.3,20.11397025,8.561549,4.12485225,6.6621325,8.0
3747,M,1.1625,0.8875,0.3125,12.587178,4.83358975,2.2963095,5.216308,10.0
3748,I,1.1875,0.8375,0.275,13.721158,6.8322295,2.65067825,3.2601925,7.0
3749,I,0.975,0.725,0.25,7.95203475,3.55786225,1.48834875,2.2963095,9.0
3750,I,0.5375,0.375,0.125,1.0489315,0.75126175,0.24097075,0.26932025,5.0
3751,M,1.4125,1.1,0.3125,24.73493875,9.87980075,5.17378375,6.6621325,12.0
3752,F,1.5,1.1875,0.4,32.33260475,15.97494325,6.4920355,7.5126175,10.0
3753,I,1.025,0.775,0.225,7.994559,3.55786225,1.7293195,2.551455,7.0
3754,I,1.1875,0.875,0.3375,15.5071765,7.9095105,3.58621175,3.96893,8.0
3755,F,1.5375,1.25,0.4375,37.15201975,15.1669825,7.01650125,10.20582,14.0
3756,M,1.5,1.225,0.375,28.6613445,11.1980525,5.5281525,9.07184,11.0
3757,F,1.5,1.275,0.4375,37.42134,11.15552825,7.087375,12.0485375,18.0
3758,I,1.1,0.85,0.2625,12.48795475,5.613201,2.48058125,2.6932025,8.0
3759,I,1.325,1.0625,0.325,20.921931,9.87980075,4.83358975,5.10291,9.0
3760,M,1.5,1.2125,0.425,31.6096925,11.9918385,7.24329725,9.4970825,15.0
3761,M,1.675,1.3625,0.4875,46.379782,17.1514475,8.37727725,13.60776,10.0
3762,I,0.8375,0.6375,0.2125,4.8477645,2.65067825,1.077281,1.417475,7.0
3763,I,0.675,0.5,0.2125,3.30271675,1.31825175,0.4819415,0.850485,5.0
3764,F,1.15,0.8875,0.35,14.69921575,5.6699,3.572037,4.6776675,14.0
3765,I,1.15,0.85,0.275,11.38232425,4.40834725,2.31048425,3.84135725,8.0
3766,F,1.75,1.4,0.4,50.745605,19.06503875,10.02154825,14.74174,19.0
3767,M,1.55,1.2125,0.425,35.19590425,14.84096325,7.66853975,11.1980525,17.0
3768,M,1.425,1.1,0.425,33.89182725,13.79203175,7.767763,9.4970825,10.0
3769,F,1.625,1.25,0.4625,38.9805625,16.386011,8.5898985,10.77281,9.0
3770,M,1.6125,1.225,0.425,31.70891575,13.70698325,7.32834575,9.4970825,10.0
3771,M,1.6125,1.225,0.4375,32.04910975,16.782904,7.257472,8.50485,10.0
3772,M,1.325,1.0375,0.3625,22.792998,7.93786,4.422522,7.7961125,14.0
3773,I,1.0875,0.8125,0.2375,9.4970825,4.422522,1.814368,2.9766975,8.0
3774,I,1.4,1.125,0.425,22.75047375,9.62465525,5.59902625,6.9456275,11.0
3775,F,1.325,1.0125,0.3625,27.91008275,8.561549,6.3786375,9.355335,15.0
3776,I,0.6375,0.4625,0.1625,2.3530085,0.97805775,0.69456275,0.7087375,6.0
3777,I,1.1,0.8375,0.25,13.11164375,5.329706,2.36718325,3.2601925,7.0
3778,M,1.5625,1.2875,0.4125,37.704835,19.6462035,7.3425205,11.623295,11.0
3779,F,1.625,1.3625,0.4875,49.59745025,19.03668925,9.05766525,13.60776,11.0
3780,F,1.5875,1.3125,0.4,33.40988575,15.40795325,6.973977,9.355335,10.0
3781,F,1.5125,1.2125,0.3875,35.096681,15.80484625,6.90310325,9.355335,11.0
3782,F,1.525,1.2,0.4125,34.8415355,14.92601175,7.75358825,9.355335,12.0
3783,F,1.4875,1.1375,0.4125,25.92561775,9.25611175,6.9456275,10.6310625,13.0
3784,I,0.925,0.6875,0.225,7.9662095,2.59397925,1.6159215,2.1262125,9.0
3785,F,1.2625,1.0,0.4,24.84833675,8.32057825,5.17378375,6.9456275,14.0
3786,M,1.4375,1.1875,0.4,30.65998425,14.50076925,6.98815175,7.654365,10.0
3787,I,1.0625,0.8625,0.3,11.92096475,4.97533725,2.2963095,3.8271825,14.0
3788,M,1.6875,1.3625,0.425,46.379782,23.6151335,9.412034,14.2030995,13.0
3789,F,1.55,1.2,0.3625,32.72949775,16.62698175,6.90310325,9.63883,10.0
3790,I,1.4375,1.125,0.375,24.6357155,10.149121,4.932813,6.520385,10.0
3791,I,1.0,0.775,0.225,8.12213175,3.18931875,1.77184375,2.19708625,6.0
3792,M,1.5625,1.25,0.475,34.189497,13.4093135,7.427569,9.2135875,12.0
3793,M,1.55,1.2125,0.4,29.937072,13.9763035,6.23689,9.922325,8.0
3794,F,1.45,1.1625,0.4125,29.199985,12.303683,5.556502,8.788345,11.0
3795,M,1.325,1.0125,0.325,17.93105875,8.278054,3.3735905,4.7343665,10.0
3796,M,1.55,1.225,0.3875,32.16250775,16.499409,6.13766675,8.3631025,11.0
3797,F,1.5625,1.2125,0.475,33.46658475,11.736693,8.37727725,10.19164525,14.0
3798,F,1.5875,1.2625,0.325,36.1456125,12.57300325,8.34892775,10.3475675,13.0
3799,M,1.4625,1.1375,0.4,33.46658475,14.401546,6.0951425,8.7032965,11.0
3800,F,1.375,1.075,0.3375,23.0481435,9.62465525,5.839997,7.2291225,7.0
3801,F,1.125,0.825,0.275,12.74310025,4.97533725,2.891649,3.3735905,7.0
3802,F,1.725,1.35,0.4875,47.86813075,21.92833825,10.2341695,13.891255,10.0
3803,M,1.0,0.75,0.2375,9.298636,4.23825025,1.8994165,2.9766975,8.0
3804,F,1.2625,0.975,0.3,16.45688475,6.4353365,3.86970675,5.386405,15.0
